Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
Quiz,Quick Fire Quiz,What is the capital of Germany?,Geography,Text Answer,,Berlin,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the official language of Brazil?,Language,Text Answer,,Portuguese,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the boiling point of water in degrees Celsius?,Nature,Text Answer,,100,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Sound travels faster in air than in water.,Science,True or False,True | False,0,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of South Africa?,Geography,Text Answer,,Pretoria,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Who is the author of the 'Harry Potter' series?,Literature,Text Answer,,J.K. Rowling,1,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which continent is Mexico in?,Geography,Text Answer,,North America,1,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which continent is Australia in?,Geography,Text Answer,,Australia,1,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Mount Everest is the tallest mountain on Earth.,Geography,True or False,True | False,1,1,2,playful,future,"future, travel, lifestyle, fun",,,,"true-false, quick-fire, warm-up",funny-break,future-plans,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which Chinese festival celebrates the lunar New Year?,World Culture,Text Answer,,Spring Festival,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the center of an atom called?,Nature,Text Answer,,Nucleus,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of Italy?,Geography,Text Answer,,Rome,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of Australia?,Geography,Text Answer,,Canberra,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,How many days are there in a leap year?,Everyday Facts,Text Answer,,366,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which civilization built the pyramids?,History,Text Answer,,Ancient Egyptians,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The Earth revolves around the Sun.,Science,True or False,True | False,1,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What sport does Usain Bolt compete in?,Sport,Text Answer,,Sprint running,1,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What force pulls objects towards each other in space?,Space,Text Answer,,Gravity,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,In which sport might you perform a 'triple axel'?,Sport,Text Answer,,Figure skating,1,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the primary material used in watercolor painting?,Art,Text Answer,,Water-based paint,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What technology is used for wireless communication over short distances?,Technology,Text Answer,,Bluetooth,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which continent is Turkey in?,Geography,Text Answer,,Europe and Asia,1,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which sport is known as the 'king of sports'?,Sport,Text Answer,,Soccer,1,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which language is primarily spoken in Austria?,Language,Text Answer,,German,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The human heart has four chambers.,Science,True or False,True | False,1,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of Denmark?,Geography,Text Answer,,Copenhagen,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the chemical symbol for water?,Nature,Text Answer,,H2O,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The Louvre is located in London.,Art,True or False,True | False,0,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the name of the operating system developed by Linus Torvalds?,Technology,Text Answer,,Linux,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the hottest planet in our solar system?,Space,Text Answer,,Venus,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What sport uses a shuttlecock?,Sport,Text Answer,,Badminton,1,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Who played the Joker in 'The Dark Knight'?,Film,Text Answer,,Heath Ledger,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What do you call a baby kangaroo?,Animals,Text Answer,,Joey,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which instrument has 88 keys?,Music,Text Answer,,Piano,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,How many letters are there in the English alphabet?,Everyday Facts,Text Answer,,26,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which group sang 'Bohemian Rhapsody'?,Music,Text Answer,,Queen,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of Greece?,Geography,Text Answer,,Athens,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Who played the role of Harry Potter in the films?,Film,Text Answer,,Daniel Radcliffe,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The unicorn is the national animal of Scotland.,World Culture,True or False,True | False,1,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,How many points is a try worth in rugby union?,Sport,Text Answer,,5,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Light travels faster than sound.,Science,True or False,True | False,1,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,How many colors are there in a rainbow?,Everyday Facts,Text Answer,,7,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which country is famous for its dish paella?,Food,Text Answer,,Spain,1,2,playful,future,"food, lifestyle, drink, future, travel",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Who wrote 'Moby-Dick'?,Literature,Text Answer,,Herman Melville,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which movie features a giant gorilla on the Empire State Building?,Film,Text Answer,,King Kong,1,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The Great Wall of China is visible from the Moon.,History,True or False,True | False,0,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,The chemical symbol for iron is Fe.,Science,True or False,True | False,1,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which tennis tournament is played on grass courts in England?,Sport,Text Answer,,Wimbledon,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the largest religion in the world by number of followers?,World Culture,Text Answer,,Christianity,1,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What programming language is primarily used to build web pages?,Technology,Text Answer,,HTML,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The Nile is the longest river in the world.,Geography,True or False,True | False,1,1,2,playful,future,"future, travel, lifestyle, fun",,,,"true-false, quick-fire, warm-up",funny-break,future-plans,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,Honey never spoils.,Food,True or False,True | False,1,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,Whales are fish.,Animals,True or False,True | False,0,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is a group of lions called?,Animals,Text Answer,,Pride,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the speed of light?,Science,Text Answer,,"Approximately 299,792 kilometers per second",1,2,playful,lifestyle,"cars, lifestyle, fun, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,How many holes are there in a full round of golf?,Sport,Text Answer,,18,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What do bees collect from flowers?,Everyday Facts,Text Answer,,Nectar,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of China?,Geography,Text Answer,,Beijing,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the most widely spoken language in Africa?,Language,Text Answer,,Swahili,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What was the name of the ship on which the Pilgrims traveled to America in 1620?,History,Text Answer,,Mayflower,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the highest male singing voice?,Music,Text Answer,,Tenor,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Gold is heavier than silver.,Science,True or False,True | False,1,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the term for a rocky object that orbits the Sun?,Space,Text Answer,,Asteroid,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which marine animal is the largest species of dolphin?,Animals,Text Answer,,Orca,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
