Sheet Name,Source Row,Kept Row,Question,Question Type,Category,Options,Removal Reason
Questions,925,597,Who is more likely to suggest trying something new in bed?,Multiple Choice,Sexual,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
Questions,936,602,Who is more likely to want a quickie?,Multiple Choice,Sexual,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
Questions,1011,981,Would you rather make the other blush or be made to blush?,Preference,Sexual,make the other blush | made to blush,Exact duplicate question text in the same sheet.
Questions,1242,1077,Rate from 1 to 10: how dominant is Kim when she wants to be?,Rating,Sexual,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Exact duplicate question text in the same sheet.
Questions,1248,1120,Rate from 1 to 10: how likely is one look to start trouble?,Rating,Sexual,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Exact duplicate question text in the same sheet.
Questions,1272,1147,"Rank these from most to least important after sex: cuddles, reassurance, jokes, sleep",Sort Into Order,Sexual,cuddles | reassurance | jokes | sleep,Exact duplicate question text in the same sheet.
Questions,1355,956,Who is more likely to make the other beg for attention?,Multiple Choice,Sexual,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
Questions,1370,976,Would you rather be surprised with lingerie or surprise the other with it?,Preference,Sexual,surprised with lingerie | surprise the other with it,Exact duplicate question text in the same sheet.
Questions,1376,2,What is your favourite sex position?,Favourite,Sexual,,Exact duplicate question text in the same sheet.
Questions,1378,3,What do you think my biggest turn-on is?,Text Answer,Sexual,,Exact duplicate question text in the same sheet.
Questions,1380,17,What is the sexiest thing I do without trying?,Text Answer,Sexual,,Exact duplicate question text in the same sheet.
Questions,1383,602,Who is more likely to want a quickie?,Multiple Choice,Sexual,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
Questions,1385,964,Would you rather be teased all day or surprised at night?,Preference,Sexual,teased all day | surprised at night,Exact duplicate question text in the same sheet.
Questions,1386,608,Rank your top 3 biggest turn-ons.,Ranked / Top 3,Sexual,,Exact duplicate question text in the same sheet.
Questions,1393,934,Who is more likely to talk dirty first?,Multiple Choice,Sexual,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
Questions,1394,965,Would you rather have lights on or lights off?,Preference,Sexual,lights on | lights off,Exact duplicate question text in the same sheet.
Questions,1398,4,Who is more likely to cry during a film?,Multiple Choice,Films & TV,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
Questions,1399,14,What do you think my favourite movie is?,Text Answer,Films & TV,,Exact duplicate question text in the same sheet.
Questions,1406,5,What age did you have your first kiss?,Numeric,Childhood,,Exact duplicate question text in the same sheet.
Questions,1416,6,What do you think my dream holiday looks like?,Text Answer,Travel,,Exact duplicate question text in the same sheet.
Questions,1419,15,Who is more likely to fall asleep first on a road trip?,Multiple Choice,Travel,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
Questions,1421,18,Rank your top 3 dream holiday destinations.,Ranked / Top 3,Travel,,Exact duplicate question text in the same sheet.
Questions,1426,7,Would you rather give up social media or alcohol?,Preference,Lifestyle,give up social media | alcohol,Exact duplicate question text in the same sheet.
Questions,1436,8,What outfit do you think suits me best?,Text Answer,Fashion & Style,,Exact duplicate question text in the same sheet.
Questions,1446,9,What is your most embarrassing drunk moment?,Text Answer,Embarrassing Moments,,Exact duplicate question text in the same sheet.
Questions,1456,10,What is one thing you think I overthink?,Text Answer,Personality,,Exact duplicate question text in the same sheet.
Questions,1465,11,What do you think my ideal date night is?,Text Answer,Romance,,Exact duplicate question text in the same sheet.
Questions,1475,12,What song always makes you think of me?,Text Answer,Music,,Exact duplicate question text in the same sheet.
Questions,1477,20,Who is more likely to start a karaoke session?,Multiple Choice,Music,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
Questions,1485,13,What is your go-to comfort food?,Favourite,Food & Drink,,Exact duplicate question text in the same sheet.
Questions,1495,16,What is your biggest pet peeve about me?,Pet Peeve,Pet Peeves,,Exact duplicate question text in the same sheet.
Questions,1505,19,What celebrity would you want to have dinner with?,Text Answer,Celebrities,,Exact duplicate question text in the same sheet.
Questions,1515,21,What is your favorite memory of us?,Text Answer,Memories,,Exact duplicate question text in the same sheet.
Questions,1612,58,What is your biggest driving pet peeve?,Pet Peeve,Cars & Driving,,Exact duplicate question text in the same sheet.
Questions,1613,44,What is your favourite holiday tradition?,Favourite,Holidays,,Exact duplicate question text in the same sheet.
Questions,1626,39,What is your favourite sport to watch?,Favourite,Sports,,Exact duplicate question text in the same sheet.
Put Your Money Where Your Mouth Is,43,34,True or false: I would rather stay home than go clubbing.,True or False,Social,1 | 0,Exact duplicate question text in the same sheet.
Put Your Money Where Your Mouth Is,44,35,True or false: I check my phone too much.,True or False,Technology,1 | 0,Exact duplicate question text in the same sheet.
Put Your Money Where Your Mouth Is,45,37,True or false: I enjoy planning holidays.,True or False,Travel,1 | 0,Exact duplicate question text in the same sheet.
Put Your Money Where Your Mouth Is,46,36,True or false: I could eat pizza every week.,True or False,Food,1 | 0,Exact duplicate question text in the same sheet.
Most Like To,177,88,Who is most likely to notice when someone needs encouragement?,Multiple Choice,Connection,Jay | Kim | Both | Neither,Exact duplicate question text in the same sheet.
