question,category,roundType,defaultAnswerType,answerType,multipleChoiceOptions,correctAnswer,tags,intensity,tone,relationshipArea,avoidIf,gameSuitability,aiUseCase,repeatGroup,unitLabel,scoringDivisor,roundingMode,roundPenaltyValue,fixedPenalty,scoringMode,scoringOutcomeType,notes,sourceLabel,addedBy,active
Your partner plans a surprise date but keeps every detail secret until you arrive,Dating & Romance,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,dating-romance;judgement;relationship,2,playful,Dating & Romance,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating remembers a tiny romantic detail you mentioned once months ago,Dating & Romance,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,dating-romance;judgement;relationship,2,playful,Dating & Romance,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner expects a big romantic gesture every time you have a disagreement",Dating & Romance,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,dating-romance;judgement;relationship,2,playful,Dating & Romance,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner turns a normal errand into a little date without making a fuss",Dating & Romance,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,dating-romance;judgement;relationship,2,playful,Dating & Romance,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner posts a flirty photo caption about you before asking if you are comfortable with it",Dating & Romance,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,dating-romance;judgement;relationship,2,playful,Dating & Romance,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner keeps a running note of date ideas you might both enjoy,Dating & Romance,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,dating-romance;judgement;relationship,2,playful,Dating & Romance,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating says they need twenty minutes to cool down before a serious conversation,Communication,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,communication;judgement;relationship,2,playful,Communication,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner uses sarcasm when they are embarrassed instead of saying what they feel",Communication,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,communication;judgement;relationship,2,playful,Communication,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner sends a long voice note instead of trying to argue by text",Communication,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,communication;judgement;relationship,2,playful,Communication,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner checks whether you want advice or comfort before responding",Communication,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,communication;judgement;relationship,2,playful,Communication,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
