Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Original Sheet,Original Question Type
Most Like To,Most Likely To,Who is most likely to keep a secret surprise until the perfect moment?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,playful;observant,,,,party;couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to notice when the other person is pretending to be fine?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,empathy;awareness,,,,couples;deep talk,insight,,,
Most Like To,Most Likely To,Who is most likely to suggest one more round?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;social,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to get caught smiling at their phone?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,romantic,flirty;subtle,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to bring up an old inside joke at exactly the right time?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,humor;memory,,,,friends;couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to say yes to a dare?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,bold;risk,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to secretly enjoy being teased?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,flirty;teasing,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to make the scoreboard personal?,Competition,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,competitive;playful,,,,games,engagement,,,
Most Like To,Most Likely To,Who is most likely to laugh at the wrong moment?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,light,social,awkward;humor,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to turn a small moment into a big memory?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,sentimental;present,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to overthink a simple text message?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,overthinking;anxious,,,,solo;couples,insight,,,
