Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Original Question Type
Questions,Normal Game,What is your favourite sex position?,Sexual,Favourite,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,What do you think my biggest turn-on is?,Sexual,Text Answer,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Who is more likely to cry during a film?,Films & TV,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,entertainment,
Questions,Normal Game,What age did you have your first kiss?,Childhood,Numeric,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What do you think my dream holiday looks like?,Travel,Text Answer,,,TRUE,3,emotional,future,"emotional, deep, lifestyle, future, travel, confidence",,,,"date-night, normal",deep-connection,confidence-risk,
Questions,Normal Game,Would you rather give up social media or alcohol?,Lifestyle,Preference,give up social media | alcohol,,TRUE,2,playful,lifestyle,"fun, random, hypothetical, lifestyle",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What outfit do you think suits me best?,Fashion & Style,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What is your most embarrassing drunk moment?,Embarrassing Moments,Text Answer,,,TRUE,3,awkward,lifestyle,"awkward, embarrassing, fun, lifestyle",,,embarrassment-risk,"date-night, normal",deep-connection,lifestyle,
Questions,Normal Game,What is one thing you think I overthink?,Personality,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What do you think my ideal date night is?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What song always makes you think of me?,Music,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,What is your go-to comfort food?,Food & Drink,Favourite,,,TRUE,2,playful,lifestyle,"food, drink, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,food-drink,
Questions,Normal Game,What do you think my favourite movie is?,Films & TV,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,Who is more likely to fall asleep first on a road trip?,Travel,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,future,"future, cars, travel, lifestyle",,,,"quick-fire, warm-up",escalation,future-plans,
Questions,Normal Game,What is your biggest pet peeve about me?,Pet Peeves,Pet Peeve,,,TRUE,3,playful,habits,"personality, habits, fun, lifestyle",,,,"date-night, normal",deep-connection,habits,
Questions,Normal Game,What is the sexiest thing I do without trying?,Sexual,Text Answer,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
