Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
Questions,Normal Game,What is your favourite sex position?,Sexual,Favourite,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,text,text,,,,,,,,,,,
Questions,Normal Game,What do you think my biggest turn-on is?,Sexual,Text Answer,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to cry during a film?,Films & TV,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What age did you have your first kiss?,Childhood,Numeric,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,number,number,,,,,,,,,,,
Questions,Normal Game,What do you think my dream holiday looks like?,Travel,Text Answer,,,1,3,emotional,future,"emotional, deep, lifestyle, future, travel, confidence",,,,"date-night, normal",deep-connection,confidence-risk,text,text,,,,,,,,,,,
Questions,Normal Game,Would you rather give up social media or alcohol?,Lifestyle,Preference,give up social media | alcohol,,1,2,playful,lifestyle,"fun, random, hypothetical, lifestyle",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What outfit do you think suits me best?,Fashion & Style,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,What is your most embarrassing drunk moment?,Embarrassing Moments,Text Answer,,,1,3,awkward,lifestyle,"awkward, embarrassing, fun, lifestyle",,,embarrassment-risk,"date-night, normal",deep-connection,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,What is one thing you think I overthink?,Personality,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,What do you think my ideal date night is?,Romance,Text Answer,,,1,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,text,text,,,,,,,,,,,
Questions,Normal Game,What song always makes you think of me?,Music,Text Answer,,,1,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Questions,Normal Game,What is your go-to comfort food?,Food & Drink,Favourite,,,1,2,playful,lifestyle,"food, drink, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,food-drink,text,text,,,,,,,,,,,
Questions,Normal Game,What do you think my favourite movie is?,Films & TV,Text Answer,,,1,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to fall asleep first on a road trip?,Travel,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,future,"future, cars, travel, lifestyle",,,,"quick-fire, warm-up",escalation,future-plans,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is your biggest pet peeve about me?,Pet Peeves,Pet Peeve,,,1,3,playful,habits,"personality, habits, fun, lifestyle",,,,"date-night, normal",deep-connection,habits,text,text,,,,,,,,,,,
Questions,Normal Game,What is the sexiest thing I do without trying?,Sexual,Text Answer,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,text,text,,,,,,,,,,,
Questions,Normal Game,Rank your top 3 dream holiday destinations.,Travel,Ranked / Top 3,,,1,3,emotional,future,"emotional, deep, lifestyle, future, travel",,,,"date-night, normal",deep-connection,future-plans,ranked,ranked,,,,,,,,,,,
Questions,Normal Game,What celebrity would you want to have dinner with?,Celebrities,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to start a karaoke session?,Music,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is your favorite memory of us?,Memories,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,What do you think my favorite part of your body is?,Sexual,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,Would you rather stay in or go out for date night?,Lifestyle,Preference,stay in | go out for date night,,1,3,romantic,romance,"memories, fun, random, hypothetical, romantic, future",,,,"date-night, normal",romantic-moment,memories,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,Who is more likely to forget an anniversary?,Relationships,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is your favourite drink to order at a bar?,Nightlife,Favourite,,,1,2,playful,lifestyle,"food, drink, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,food-drink,text,text,,,,,,,,,,,
Questions,Normal Game,What do you think my perfect weekend looks like?,Lifestyle,Text Answer,,,1,3,emotional,lifestyle,"confidence, emotional, fun, lifestyle",,,,"date-night, normal",deep-connection,confidence-risk,text,text,,,,,,,,,,,
Questions,Normal Game,What embarrassing moment do you think I still laugh about?,Embarrassing Moments,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to try a new food first?,Food & Drink,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"food, drink, lifestyle, fun",,,,"quick-fire, warm-up",escalation,food-drink,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is your favorite way to relax after a long day?,Health & Wellness,Favourite,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,What do you think I spend too much money on?,Money,Text Answer,,,1,2,playful,lifestyle,"money, lifestyle, fun, general",,,,"quick-fire, warm-up",funny-break,finance,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to go skydiving?,Random / Wildcard,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is your favourite guilty pleasure TV show?,Films & TV,Favourite,,,1,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Questions,Normal Game,Would you rather travel to the past or the future?,Hypotheticals,Preference,travel to the past | the future,,1,2,playful,future,"fun, random, hypothetical, lifestyle, future, travel",,,,"quick-fire, warm-up",funny-break,future-plans,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What do you think my signature scent would be?,Fashion & Style,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,What is your favourite childhood snack?,Childhood,Favourite,,,1,3,playful,memories,"memories, food, lifestyle, childhood, drink",,,,"date-night, normal",deep-connection,memories,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to get lost even with GPS?,Technology,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What do you think my hidden talent is?,General Knowledge About Me,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,Would you rather be able to read minds or fly?,Hypotheticals,Preference,able to read minds | fly,,1,2,playful,lifestyle,"fun, random, hypothetical, lifestyle",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is your favourite sport to watch?,Sports,Favourite,,,1,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to start a dance-off at a party?,Nightlife,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What hobby would you love for us to try together?,Lifestyle,Text Answer,,,1,3,romantic,romance,"entertainment, memories, fun, lifestyle, romantic, future",,,,"date-night, normal",romantic-moment,memories,text,text,,,,,,,,,,,
Questions,Normal Game,What do you think my dream car is?,Cars & Driving,Text Answer,,,1,3,emotional,future,"emotional, deep, lifestyle, cars, future",,,,"date-night, normal",deep-connection,future-plans,text,text,,,,,,,,,,,
Questions,Normal Game,Would you rather have a personal chef or personal trainer?,Health & Wellness,Preference,a personal chef | personal trainer,,1,2,playful,lifestyle,"fun, random, hypothetical, lifestyle",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is your favourite holiday tradition?,Holidays,Favourite,,,1,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to prank the other?,Random / Wildcard,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What do you think my ultimate career goal is?,Future / Goals,Text Answer,,,1,3,emotional,future,"emotional, deep, future, fun",,,,"date-night, normal",deep-connection,future-plans,text,text,,,,,,,,,,,
Questions,Normal Game,What is your favourite thing about me?,Romance,Favourite,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,Who is more likely to plan a surprise trip?,Travel,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",escalation,future-plans,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is your favourite way to spend a rainy day?,Home,Favourite,,,1,2,playful,lifestyle,"money, lifestyle, fun, general",,,,"quick-fire, warm-up",funny-break,finance,text,text,,,,,,,,,,,
Questions,Normal Game,Would you rather know the date of your death or the cause?,Hypotheticals,Preference,know the date of your death | the cause,,1,2,playful,lifestyle,"fun, random, hypothetical, lifestyle",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,Who is more likely to adopt a pet on impulse?,Lifestyle,Multiple Choice,Jay | Kim | Both | Neither,,1,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Questions,Normal Game,What is one moment in our relationship you’ll never forget?,Memories,Text Answer,,,1,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,text,text,,,,,,,,,,,
Questions,Normal Game,What’s one compliment from me that stuck with you?,Relationships,Text Answer,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Questions,Normal Game,What is your favourite way to flirt with me?,Romance,Favourite,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
