Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type,Source Row,Removal Reason
Questions,Normal Game,What is Jay most likely to do when he is trying to get Kim in the mood?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,992,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is Kim most likely to do when she wants attention but will not say it?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,993,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would most likely make Jay lose focus fastest?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,994,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would most likely make Kim blush the most?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,995,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which is most likely to start something between Jay and Kim?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,996,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would Jay most likely say after being teased too long?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,997,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would Kim most likely do if Jay made a risky joke in public?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,998,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which compliment would work best in the bedroom?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,999,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is most likely to turn a normal night into a naughty one?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1000,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which one is most likely to be Jay's weakness?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1001,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which one is most likely to be Kim's weakness?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1002,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would most likely happen after a flirty argument?,Sexual,Multiple Choice,,,1,4,savage,lifestyle,"savage, fun, lifestyle, general",,,argument-risk,"spicy-night, final-round",spicy-escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1003,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is the most dangerous time for Jay and Kim to start cuddling?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1004,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would Kim most likely pretend not to enjoy?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1005,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would Jay most likely ask for if he was being honest?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1006,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which bedroom habit is most likely Jay's?,Sexual,Multiple Choice,,,1,3,playful,habits,"personality, habits, fun, lifestyle",,,,"date-night, normal",deep-connection,habits,multipleChoice,multipleChoice,,,,,,,,,,,,1007,Removed: Multiple Choice row has no Options.
