Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something from before you met?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;from-before-you-met,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-0,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something from the early days of Jay and Kim?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;from-the-early-days-of-jay-and-kim,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-1,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that you have never fully explained?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-you-have-never-fully-explained,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-2,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that would make the other person understand you better?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-would-make-the-other-person-understand-you-better,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-3,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that feels funnier now than it did then?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-feels-funnier-now-than-it-did-then,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-4,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that still feels a bit tender?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-still-feels-a-bit-tender,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-5,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that you would put in a private diary chapter?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-you-would-put-in-a-private-diary-chapter,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-6,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,"What is the first tiny moment you remember thinking this could become something that involved a place, song, food, or smell?",Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-involved-a-place-song-food-or-smell,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-7,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that changed how you see yourself?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-changed-how-you-see-yourself,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-8,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that you would only tell someone you really trust?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-you-would-only-tell-someone-you-really-trust,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-9,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that was slightly naughty but still sweet?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-was-slightly-naughty-but-still-sweet,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-10,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that deserves to be remembered properly?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-deserves-to-be-remembered-properly,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-11,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that made you feel chosen?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-made-you-feel-chosen,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-12,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that made you grow up a bit?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-made-you-grow-up-a-bit,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-13,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is the first tiny moment you remember thinking this could become something that you wish you had a photo of?,Us / Relationship Memories,Text Answer,,,TRUE,3,romantic,Us / Relationship Memories,relationship;firsts;that-you-wish-you-had-a-photo-of,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-14,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe from before you met?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;from-before-you-met,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-0,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe from the early days of Jay and Kim?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;from-the-early-days-of-jay-and-kim,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-1,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that you have never fully explained?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-you-have-never-fully-explained,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-2,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that would make the other person understand you better?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-would-make-the-other-person-understand-you-better,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-3,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that feels funnier now than it did then?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-feels-funnier-now-than-it-did-then,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-4,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that still feels a bit tender?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-still-feels-a-bit-tender,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-5,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that you would put in a private diary chapter?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-you-would-put-in-a-private-diary-chapter,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-6,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,"What is your earliest clear memory of feeling completely safe that involved a place, song, food, or smell?",Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-involved-a-place-song-food-or-smell,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-7,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that changed how you see yourself?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-changed-how-you-see-yourself,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-8,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that you would only tell someone you really trust?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-you-would-only-tell-someone-you-really-trust,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-9,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that was slightly naughty but still sweet?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-was-slightly-naughty-but-still-sweet,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-10,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that deserves to be remembered properly?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-deserves-to-be-remembered-properly,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-11,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
