question,category,roundType,defaultAnswerType,answerType,multipleChoiceOptions,correctAnswer,tags,intensity,tone,relationshipArea,avoidIf,gameSuitability,aiUseCase,repeatGroup,unitLabel,scoringDivisor,roundingMode,roundPenaltyValue,fixedPenalty,scoringMode,scoringOutcomeType,notes,sourceLabel,addedBy,active
Sort these from most to least important in a long-term relationship when life is calm?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;when-life-is-calm,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-0,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship when one of you is stressed?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;when-one-of-you-is-stressed,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-1,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship on a lazy weekend?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;on-a-lazy-weekend,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-2,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship during a romantic night in?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;during-a-romantic-night-in,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-3,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship when you are both feeling playful?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;when-you-are-both-feeling-playful,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-4,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship after a disagreement?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;after-a-disagreement,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-5,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship on holiday?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;on-holiday,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-6,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship when planning the future?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;when-planning-the-future,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-7,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship when money is tighter than usual?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;when-money-is-tighter-than-usual,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-8,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
Sort these from most to least important in a long-term relationship when you both need reassurance?,Values,sortIntoOrder,ranked,ranked,Trust|Fun|Stability|Passion,,values;future;when-you-both-need-reassurance,2,thoughtful,Values,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-9,,1,nearest,0,0,automatic,compatibility,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,Compatibility Draft May 2026,Codex,TRUE
