Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship when life is calm?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;when-life-is-calm,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-0,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship when one of you is stressed?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;when-one-of-you-is-stressed,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-1,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship on a lazy weekend?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;on-a-lazy-weekend,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-2,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship during a romantic night in?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;during-a-romantic-night-in,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-3,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship when you are both feeling playful?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;when-you-are-both-feeling-playful,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-4,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship after a disagreement?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;after-a-disagreement,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-5,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship on holiday?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;on-holiday,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-6,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship when planning the future?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;when-planning-the-future,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-7,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship when money is tighter than usual?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;when-money-is-tighter-than-usual,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-8,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
Compatibility,Compatibility Meter,Sort these from most to least important in a long-term relationship when you both need reassurance?,Values,Sort Into Order,Trust | Fun | Stability | Passion,,1,2,thoughtful,Values,values;future;when-you-both-need-reassurance,Both players answer the same prompt. Matching or similar answers produce a stronger compatibility score.,,,Compatibility Meter,compatibility scoring;analytics;diary insight,compat-values-0-9,ranked,ranked,,1,nearest,0,0,automatic,compatibility,Compatibility Draft May 2026,Codex,,
