Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
Quiz,Quick Fire Quiz,What is the capital of Germany?,Geography,Text Answer,,Berlin,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the official language of Brazil?,Language,Text Answer,,Portuguese,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the boiling point of water in degrees Celsius?,Nature,Text Answer,,100,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Sound travels faster in air than in water.,Science,True or False,True | False,FALSE,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of South Africa?,Geography,Text Answer,,Pretoria,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Who is the author of the 'Harry Potter' series?,Literature,Text Answer,,J.K. Rowling,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which continent is Mexico in?,Geography,Text Answer,,North America,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which continent is Australia in?,Geography,Text Answer,,Australia,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Mount Everest is the tallest mountain on Earth.,Geography,True or False,True | False,TRUE,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"true-false, quick-fire, warm-up",funny-break,future-plans,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which Chinese festival celebrates the lunar New Year?,World Culture,Text Answer,,Spring Festival,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the center of an atom called?,Nature,Text Answer,,Nucleus,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of Italy?,Geography,Text Answer,,Rome,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of Australia?,Geography,Text Answer,,Canberra,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,How many days are there in a leap year?,Everyday Facts,Text Answer,,366,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which civilization built the pyramids?,History,Text Answer,,Ancient Egyptians,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The Earth revolves around the Sun.,Science,True or False,True | False,TRUE,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What sport does Usain Bolt compete in?,Sport,Text Answer,,Sprint running,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What force pulls objects towards each other in space?,Space,Text Answer,,Gravity,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,In which sport might you perform a 'triple axel'?,Sport,Text Answer,,Figure skating,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the primary material used in watercolor painting?,Art,Text Answer,,Water-based paint,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What technology is used for wireless communication over short distances?,Technology,Text Answer,,Bluetooth,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which continent is Turkey in?,Geography,Text Answer,,Europe and Asia,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which sport is known as the 'king of sports'?,Sport,Text Answer,,Soccer,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which language is primarily spoken in Austria?,Language,Text Answer,,German,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The human heart has four chambers.,Science,True or False,True | False,TRUE,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of Denmark?,Geography,Text Answer,,Copenhagen,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the chemical symbol for water?,Nature,Text Answer,,H2O,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The Louvre is located in London.,Art,True or False,True | False,FALSE,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the name of the operating system developed by Linus Torvalds?,Technology,Text Answer,,Linux,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the hottest planet in our solar system?,Space,Text Answer,,Venus,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What sport uses a shuttlecock?,Sport,Text Answer,,Badminton,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Who played the Joker in 'The Dark Knight'?,Film,Text Answer,,Heath Ledger,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What do you call a baby kangaroo?,Animals,Text Answer,,Joey,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which instrument has 88 keys?,Music,Text Answer,,Piano,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,How many letters are there in the English alphabet?,Everyday Facts,Text Answer,,26,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Which group sang 'Bohemian Rhapsody'?,Music,Text Answer,,Queen,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,What is the capital of Greece?,Geography,Text Answer,,Athens,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Who played the role of Harry Potter in the films?,Film,Text Answer,,Daniel Radcliffe,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,The unicorn is the national animal of Scotland.,World Culture,True or False,True | False,TRUE,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
Quiz,Quick Fire Quiz,How many points is a try worth in rugby union?,Sport,Text Answer,,5,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,text,text,,,,,,,,,,,
Quiz,Quick Fire Quiz,Light travels faster than sound.,Science,True or False,True | False,TRUE,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
