Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
Red Flag Green Flag,Red Flag Green Flag,Your partner plans a surprise date but keeps every detail secret until you arrive,Dating & Romance,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Dating & Romance,dating-romance;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating remembers a tiny romantic detail you mentioned once months ago,Dating & Romance,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Dating & Romance,dating-romance;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner expects a big romantic gesture every time you have a disagreement",Dating & Romance,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Dating & Romance,dating-romance;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner turns a normal errand into a little date without making a fuss",Dating & Romance,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Dating & Romance,dating-romance;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner posts a flirty photo caption about you before asking if you are comfortable with it",Dating & Romance,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Dating & Romance,dating-romance;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner keeps a running note of date ideas you might both enjoy,Dating & Romance,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Dating & Romance,dating-romance;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-dating-romance-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating says they need twenty minutes to cool down before a serious conversation,Communication,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Communication,communication;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner uses sarcasm when they are embarrassed instead of saying what they feel",Communication,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Communication,communication;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner sends a long voice note instead of trying to argue by text",Communication,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Communication,communication;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner checks whether you want advice or comfort before responding",Communication,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Communication,communication;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner goes quiet and expects you to guess what is wrong,Communication,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Communication,communication;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating admits they were defensive after they have had time to think,Communication,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Communication,communication;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner asks before sharing a private story about the two of you",Boundaries,Multiple Choice,Green Flag | Red Flag | Depends,,1,4,playful,Boundaries,boundaries;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner expects to know your phone password because you are together",Boundaries,Multiple Choice,Green Flag | Red Flag | Depends,,1,4,playful,Boundaries,boundaries;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner respects a no even when they are clearly disappointed",Boundaries,Multiple Choice,Green Flag | Red Flag | Depends,,1,4,playful,Boundaries,boundaries;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner makes a joke about your boundary in front of friends,Boundaries,Multiple Choice,Green Flag | Red Flag | Depends,,1,4,playful,Boundaries,boundaries;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating checks consent before trying something new in bed,Boundaries,Multiple Choice,Green Flag | Red Flag | Depends,,1,4,playful,Boundaries,boundaries;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
