question,category,roundType,defaultAnswerType,answerType,multipleChoiceOptions,correctAnswer,tags,intensity,tone,relationshipArea,avoidIf,gameSuitability,aiUseCase,repeatGroup,unitLabel,scoringDivisor,roundingMode,roundPenaltyValue,fixedPenalty,scoringMode,scoringOutcomeType,notes,sourceLabel,addedBy,active
What is the first tiny moment you remember thinking this could become something from before you met?,Us / Relationship Memories,text,text,text,,,relationship;firsts;from-before-you-met,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-0,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something from the early days of Jay and Kim?,Us / Relationship Memories,text,text,text,,,relationship;firsts;from-the-early-days-of-jay-and-kim,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-1,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that you have never fully explained?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-you-have-never-fully-explained,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-2,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that would make the other person understand you better?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-would-make-the-other-person-understand-you-better,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-3,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that feels funnier now than it did then?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-feels-funnier-now-than-it-did-then,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-4,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that still feels a bit tender?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-still-feels-a-bit-tender,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-5,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that you would put in a private diary chapter?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-you-would-put-in-a-private-diary-chapter,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-6,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
"What is the first tiny moment you remember thinking this could become something that involved a place, song, food, or smell?",Us / Relationship Memories,text,text,text,,,relationship;firsts;that-involved-a-place-song-food-or-smell,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-7,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that changed how you see yourself?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-changed-how-you-see-yourself,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-8,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that you would only tell someone you really trust?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-you-would-only-tell-someone-you-really-trust,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-9,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
