Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Original Sheet,Original Question Type
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which takeaway would you pick tonight?,Food,Multiple Choice,Pizza | Chinese | Indian | Burgers,,TRUE,1,playful,lifestyle,"food, takeaway, lifestyle",,,,quick-fire,prediction-game,takeaway,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which drink do you order most often on a night out?,Social,Multiple Choice,Beer | Wine | Cocktail | Soft drink,,TRUE,1,playful,social,"social, drinks, habits",,,,party,prediction-game,drinks,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which type of holiday sounds best right now?,Travel,Multiple Choice,Beach | City | Countryside | Road trip,,TRUE,2,playful,future,"travel, future, lifestyle",,,,date-night,compatibility-check,travel,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which pet would you rather own together?,Future,Multiple Choice,Dog | Cat | Rabbit | Fish,,TRUE,1,warm,future,"pets, future, lifestyle",,,,normal,prediction-game,pets,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which dessert would you choose first?,Food,Multiple Choice,Brownie | Ice cream | Cheesecake | Doughnuts,,TRUE,1,playful,lifestyle,"food, dessert, comfort",,,,quick-fire,light-fun,desserts,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which app do you open first in the morning?,Technology,Multiple Choice,Instagram | TikTok | WhatsApp | YouTube,,TRUE,1,playful,lifestyle,"technology, habits",,,,quick-fire,habit-check,phone,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which weather do you enjoy the most?,Lifestyle,Multiple Choice,Hot sunshine | Rain | Snow | Cold autumn weather,,TRUE,1,warm,lifestyle,"weather, lifestyle",,,,warm-up,prediction-game,weather,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which fast food chain would you choose right now?,Food,Multiple Choice,McDonald's | KFC | Burger King | Subway,,TRUE,1,playful,lifestyle,"food, fast-food",,,,quick-fire,light-fun,fast-food,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which movie genre would you pick for date night?,Entertainment,Multiple Choice,Comedy | Horror | Romance | Action,,TRUE,1,playful,connection,"movies, date-night",,,,date-night,compatibility-check,movies,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which breakfast would you rather eat every day?,Food,Multiple Choice,Full English | Pancakes | Cereal | Toast,,TRUE,1,playful,lifestyle,"food, breakfast",,,,quick-fire,food-patterns,breakfast,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which season suits your personality best?,Lifestyle,Multiple Choice,Spring | Summer | Autumn | Winter,,TRUE,1,playful,personality,"seasons, personality",,,,warm-up,personality-scan,seasons,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which shop would you spend the most money in?,Shopping,Multiple Choice,Amazon | Primark | IKEA | Apple Store,,TRUE,2,playful,money,"shopping, spending",,,financial-stress,party,money-style,shopping,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which type of music would you play on a road trip?,Music,Multiple Choice,Pop | R&B | Rock | Dance,,TRUE,1,playful,lifestyle,"music, travel",,,,quick-fire,personality-scan,music,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which social event drains you fastest?,Social,Multiple Choice,Work party | Wedding | Clubbing | Family dinner,,TRUE,2,playful,personality,"social, energy",,,,party,social-energy,social,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which would you rather do on a Sunday?,Lifestyle,Multiple Choice,Sleep in | Go shopping | See friends | Watch films,,TRUE,1,warm,lifestyle,"weekend, lifestyle",,,,warm-up,prediction-game,weekend,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which item would you save first in a fire?,Funny,Multiple Choice,Phone | Laptop | Photos | Games console,,TRUE,2,playful,values,"funny, priorities",,,,party,priority-check,fire,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which smell makes you happiest?,Lifestyle,Multiple Choice,Fresh coffee | Fresh laundry | Perfume | Fresh food,,TRUE,1,warm,wellbeing,"senses, comfort",,,,normal,comfort-patterns,smell,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which snack disappears fastest in your house?,Food,Multiple Choice,Crisps | Chocolate | Biscuits | Ice cream,,TRUE,1,playful,lifestyle,"food, snacks",,,,quick-fire,food-patterns,snacks,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which date idea sounds best tonight?,Date Night,Multiple Choice,Cinema | Dinner out | Bowling | Stay home,,TRUE,1,romantic,connection,"date-night, activities",,,,date-night,date-planning,dates,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which would annoy you most?,Habits,Multiple Choice,Being late | Interrupting | Loud chewing | Messiness,,TRUE,2,competitive,communication,"habits, annoyance",,,active-conflict,party,conflict-style,annoyances,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Which emoji do you use most often?,Technology,Multiple Choice,😂 | ❤️ | 😭 | 🔥,,TRUE,1,playful,communication,"technology, texting",,,,quick-fire,personality-scan,emoji,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather give up coffee or chocolate?,Lifestyle,Preference,Coffee | Chocolate,,TRUE,2,playful,discipline,"lifestyle, habits",,,,normal,self-control,give-up,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather stay in or go out tonight?,Lifestyle,Preference,Stay in | Go out,,TRUE,1,warm,connection,"weekend, lifestyle",,,,quick-fire,compatibility-check,weekend,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather rewatch a favourite film or start a new series?,Entertainment,Preference,Rewatch a film | Start a new series,,TRUE,1,playful,lifestyle,"entertainment, habits",,,,quick-fire,habit-check,streaming,Put Your Money Where Your Mouth,
